station_id,station_name,line_name,elevator,wheelchairlift,parking,complaint,exchange,trainreservation,culturalspace,meeting,lactation,created_at
546,광나루,5호선,Y,Y,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
547,천호,5호선,Y,N,Y,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
548,강동,5호선,Y,Y,Y,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
549,길동,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
550,굽은다리,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
551,명일,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
552,고덕,5호선,Y,N,Y,Y,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
553,상일동,5호선,Y,Y,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
P549,둔촌동,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
P551,방이,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
P553,개롱,5호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
P554,거여,5호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
P555,마천,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
610,응암,6호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
611,역촌,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
612,불광,6호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
613,독바위,6호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
615,구산,6호선,Y,Y,N,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
616,새절,6호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
617,증산,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
618,디지털미디어시티,6호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
619,월드컵경기장,6호선,Y,N,N,N,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
620,마포구청,6호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
621,망원,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
622,합정,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
623,상수,6호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
624,광흥창,6호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
625,대흥,6호선,Y,Y,N,N,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
626,공덕,6호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
627,효창공원앞,6호선,N,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
628,삼각지,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
629,녹사평,6호선,Y,N,N,N,N,N,Y,Y,N,2026-01-23 10:21:56.202589
630,이태원,6호선,Y,N,N,N,Y,N,N,N,Y,2026-01-23 10:21:56.202589
632,버티고개,6호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
633,약수,6호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
635,신당,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
636,동묘앞,6호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
637,창신,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
638,보문,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
639,안암,6호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
640,고려대,6호선,Y,N,N,Y,N,N,Y,Y,N,2026-01-23 10:21:56.202589
641,월곡,6호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
642,상월곡,6호선,Y,Y,N,N,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
643,돌곶이,6호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
644,석계,6호선,Y,Y,Y,N,N,N,Y,Y,N,2026-01-23 10:21:56.202589
646,화랑대,6호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
647,봉화산,6호선,Y,Y,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
710,도봉산,7호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
711,수락산,7호선,Y,Y,N,N,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
712,마들,7호선,Y,Y,N,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
713,노원,7호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
714,중계,7호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
715,하계,7호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
716,공릉,7호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
717,태릉입구,7호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
718,먹골,7호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
719,중화,7호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
720,상봉,7호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
