station_id,station_name,line_name,elevator,wheelchairlift,parking,complaint,exchange,trainreservation,culturalspace,meeting,lactation
638,보문,6호선,Y,N,N,N,N,N,N,Y,N
639,안암,6호선,Y,N,N,N,N,N,N,Y,Y
640,고려대,6호선,Y,N,N,Y,N,N,Y,Y,N
641,월곡,6호선,Y,Y,N,N,N,N,N,Y,N
642,상월곡,6호선,Y,Y,N,N,N,N,Y,Y,Y
643,돌곶이,6호선,Y,N,N,N,N,N,N,Y,N
644,석계,6호선,Y,Y,Y,N,N,N,Y,Y,N
646,화랑대,6호선,Y,N,N,N,N,N,N,N,N
647,봉화산,6호선,Y,Y,Y,N,N,N,N,Y,N
710,도봉산,7호선,Y,N,Y,N,N,N,N,Y,N
711,수락산,7호선,Y,Y,N,N,N,N,Y,Y,Y
712,마들,7호선,Y,Y,N,Y,N,N,N,N,N
713,노원,7호선,Y,N,N,N,N,N,N,Y,Y
714,중계,7호선,Y,N,N,N,N,N,N,Y,N
715,하계,7호선,Y,N,N,N,N,N,N,Y,Y
716,공릉,7호선,Y,N,N,N,N,N,N,N,N
717,태릉입구,7호선,Y,N,N,N,N,N,N,Y,Y
718,먹골,7호선,Y,N,N,N,N,N,N,Y,N
719,중화,7호선,Y,N,N,Y,N,N,N,Y,N
720,상봉,7호선,Y,N,N,N,N,N,N,Y,Y
721,면목,7호선,Y,N,N,N,N,N,N,Y,N
722,사가정,7호선,Y,N,N,N,N,N,N,Y,N
723,용마산,7호선,Y,N,N,N,N,N,N,N,N
724,중곡,7호선,Y,N,N,Y,N,N,N,Y,N
726,어린이대공원,7호선,Y,N,N,N,N,N,Y,Y,Y
727,건대입구,7호선,Y,N,N,Y,N,N,N,Y,N
728,자양,7호선,Y,N,N,N,N,N,Y,Y,Y
729,청담,7호선,Y,Y,N,N,N,N,Y,Y,N
730,강남구청,7호선,Y,N,N,N,N,N,N,Y,N
731,학동,7호선,Y,N,N,N,N,N,N,Y,N
732,논현,7호선,Y,Y,N,N,N,N,N,Y,Y
733,반포,7호선,Y,Y,N,N,N,N,N,Y,N
734,고속터미널,7호선,Y,Y,N,N,Y,N,N,N,Y
735,내방,7호선,Y,N,N,N,N,N,N,Y,N
736,이수,7호선,Y,Y,N,N,N,N,Y,Y,Y
737,남성,7호선,Y,N,N,N,N,N,N,Y,N
738,숭실대입구,7호선,Y,N,N,Y,N,N,N,N,N
739,상도,7호선,Y,N,N,N,N,N,N,Y,N
740,장승배기,7호선,Y,N,N,N,N,N,N,Y,N
741,신대방삼거리,7호선,Y,N,N,N,N,N,N,Y,N
742,보라매,7호선,Y,N,N,N,N,N,N,Y,N
743,신풍,7호선,Y,N,N,N,N,N,N,N,N
744,대림,7호선,Y,N,N,N,N,N,N,Y,Y
745,남구로,7호선,N,Y,N,N,N,N,N,Y,N
746,가산디지털단지,7호선,Y,Y,N,Y,N,N,Y,Y,Y
749,천왕,7호선,Y,N,Y,Y,N,N,N,Y,N
750,온수,7호선,Y,Y,N,Y,N,N,N,Y,Y
810,암사,8호선,Y,N,N,Y,N,N,N,Y,N
812,강동구청,8호선,Y,N,N,N,N,N,N,Y,N
813,몽촌토성,8호선,Y,N,N,N,N,N,N,Y,Y
814,잠실,8호선,Y,Y,N,N,Y,Y,N,N,Y
815,석촌,8호선,Y,N,N,N,N,N,N,Y,N
816,송파,8호선,Y,N,N,N,N,N,N,N,N
817,가락시장,8호선,Y,N,N,N,N,N,N,N,N
818,문정,8호선,Y,N,N,N,N,N,N,N,N
819,장지,8호선,Y,N,N,Y,N,N,N,Y,Y
820,복정,8호선,Y,N,Y,N,N,N,N,Y,N
931,삼전,9호선,Y,N,N,N,N,N,N,N,Y
932,석촌고분,9호선,Y,N,N,N,N,N,N,N,Y
933,석촌,9호선,Y,N,N,N,N,N,N,Y,N
934,송파나루,9호선,Y,N,N,N,N,N,N,N,Y
935,한성백제,9호선,Y,N,N,N,N,N,N,N,Y
937,둔촌오륜,9호선,Y,N,N,N,N,N,N,N,Y
938,중앙보훈병원,9호선,Y,N,N,N,N,N,N,N,Y
218,종합운동장,2호선,Y,N,N,N,N,Y,Y,Y,N
P550,올림픽공원,5호선,Y,N,N,N,N,N,N,Y,Y
936,올림픽공원,9호선,Y,N,N,N,N,N,N,Y,Y
